v2_id,legacy_wp_id,status,name,address,stored_postal_code,stored_city_name,derived_postal_code,derived_city_name,latitude,longitude,geography,classification,issues,legacy_published_at
136,13566,published,FASTTHAI,"31 rue charles de gaulle Alfortville",,,,,48.8148283,2.4158333,Alfortville,PARTIAL_WITH_GPS,,"2017-08-21 22:28:50"
400,13831,published,"Ma Poule Grillée","280 - 336 Route d'Enghien Argenteuil 95100",,,,,48.9565544,2.2831453,Argenteuil,PARTIAL_WITH_GPS,,"2017-08-21 22:29:17"
615,14049,published,O'Kebap,"Galerie de l'ibis 97122 Baie-Mahault",,,,,16.2414330,-61.5648977,Baie-Mahault,PARTIAL_WITH_GPS,,"2017-08-21 22:29:40"
616,14050,published,"As Kebab","Rue Nobel - Z.I Jarry 97122 Baie-Mahault",,,,,16.2387064,-61.5690621,Baie-Mahault,PARTIAL_WITH_GPS,,"2017-08-21 22:29:40"
622,14056,published,"Ty Food","1 Rue de Rosporden, 29380 Bannalec, France",,,,,47.9322550,-3.6987838,Bannalec,PARTIAL_WITH_GPS,,"2017-08-21 22:29:42"
625,14059,published,"Le New York snack coffee","3 Rue de Couchot, 55000 Bar-le-Duc, France",,,,,48.7767844,5.1603221,Bar-le-Duc,PARTIAL_WITH_GPS,,"2017-08-21 22:29:42"
630,14064,published,L'Oriental,"5 Rue du Général Nismes, 47230 Barbaste, France",,,,,44.1707541,0.2872479,Barbaste,PARTIAL_WITH_GPS,,"2017-08-21 22:29:42"
631,14065,published,"Chic kebab","16 Rue Jules Béraud, 04400 Barcelonnette, France",,,,,44.3868246,6.6517854,Barcelonnette,PARTIAL_WITH_GPS,,"2017-08-21 22:29:42"
632,14066,published,"Barlin Kebab","BARLIN KEBAB, 2 Rue Albert Legrand, 62620 Barlin, France",,,,,50.4588869,2.6154784,Barlin,PARTIAL_WITH_GPS,,"2017-08-21 22:29:42"
636,14070,published,"Le kebab","Rue Delrieu 97100 Basse terre",,,,,16.0002310,-61.7317059,Basse-terre,PARTIAL_WITH_GPS,,"2017-08-21 22:29:44"
637,14071,published,"Mini Kébab","2 place Saint François 97100 Basse terre",,,,,15.9966210,-61.7309880,Basse-terre,PARTIAL_WITH_GPS,,"2017-08-21 22:29:44"
639,14073,published,"U Frescu","63 Boulevard du Général Graziani, 20200 Bastia, France",,,,,42.7052495,9.4516245,Bastia,PARTIAL_WITH_GPS,,"2017-08-21 22:29:44"
646,14080,published,Istanbul,"3 Rue des Armuriers, 25110 Baume-les-Dames, France",,,,,47.3520667,6.3605297,Baume-les-Dames,PARTIAL_WITH_GPS,,"2017-08-21 22:29:44"
648,14082,published,"Istanbul Kebab","Rue Saint-Jean, 14400 Bayeux, France",,,,,49.2753979,-0.6966617,Bayeux,PARTIAL_WITH_GPS,,"2017-08-21 22:29:44"
659,14093,published,"Delices D'istanbul","32 Rue d'Espagne, 64100 Bayonne, France",,,,,43.4891370,-1.4772169,Bayonne,PARTIAL_WITH_GPS,,"2017-08-21 22:29:45"
7648,22343,pending,"Fresh Burritos Reims","45 Place Drouet d'Erlon, Reims, France",,,,,,,Reims,PARTIAL_NO_GPS,,
7649,22352,pending,"Fresh Burritos Euralille","100 Avenue Willy Brandt, Lille, France",,,,,,,Lille,PARTIAL_NO_GPS,,
7650,22358,pending,"Fresh Burritos Tours Heure tranquille","59 avenue Marcel Mérieux",,,,,,,Tours,PARTIAL_NO_GPS,,
7651,22364,pending,"Fresh Burritos Clermont Lafayette","31 Boulevard Lafayette, Clermont-Ferrand, France",,,,,,,Clermont-Ferrand,PARTIAL_NO_GPS,,
7652,22370,pending,"Fresh Burritos Sainte Marie","32 Rue Michel Ange, Sainte-Marie, La Réunion",,,,,,,Sainte-Marie,PARTIAL_NO_GPS,,
7653,22376,pending,"Fresh Burritos La Réunion Saint Denis","16 Rue de l'Amiral Lacaze, Saint-Denis, La Réunion",,,,,,,Saint-Denis,PARTIAL_NO_GPS,,
7654,22382,pending,"Fresh Burritos Rennes Sainte-Anne","1 Rue Saint-Melaine, Rennes, France",,,,,,,Rennes,PARTIAL_NO_GPS,,
7676,22517,pending,"Le Biggy","20 rue sire firmin leroux",,,,,,,Amiens,PARTIAL_NO_GPS,,
7677,22556,pending,Mr.,"3137 Laguna Street",,,,,,,,PARTIAL_NO_GPS,,
7678,22560,pending,Mr.,"3137 Laguna Street",,,,,,,,PARTIAL_NO_GPS,,
7679,22575,pending,Mr.,"3137 Laguna Street",,,,,,,,PARTIAL_NO_GPS,,
7680,22579,pending,Mr.,"3137 Laguna Street",,,,,,,,PARTIAL_NO_GPS,,
7681,22580,pending,Mr.,"3137 Laguna Street",,,,,,,,PARTIAL_NO_GPS,,
7682,22585,pending,Mr.,"3137 Laguna Street",,,,,,,,PARTIAL_NO_GPS,,
7683,22596,pending,Mr.,"3137 Laguna Street",,,,,,,,PARTIAL_NO_GPS,,
159,13590,published,"Les Frangins","11 Avenue du Général De Gaulle 66110 Amelie Les Bains",,,66110,"Amelie Les Bains",42.4726479,2.6713280,Amelie-les-Bains-Palalda,CONFLICT,city_geography_mismatch,"2017-08-21 22:28:54"
540,13974,published,Louiva,"53 Rue de la commune de Paris 93300 Auvervilliers",,,93300,Auvervilliers,48.9104452,2.3806020,Aubervilliers,CONFLICT,city_geography_mismatch,"2017-08-21 22:29:33"
2816,16255,published,"Au P'tit Creux","La Rosiere 73700 La Rosiere 1850",,,73700,"La Rosiere 1850",45.6272900,6.8494640,"La Rosiere",CONFLICT,city_geography_mismatch,"2017-08-21 22:33:56"
2870,16309,published,"Snack Kaya Laneuveville","13 bis general patton 54410 Laneuville devant nancy",,,54410,"Laneuville devant nancy",48.6574483,6.2307548,Laneuveville-devant-Nancy,CONFLICT,city_geography_mismatch,"2017-08-21 22:34:03"
3119,16558,published,Akropole,"173 Rue Rivay 92300 Levallois",,,92300,Levallois,48.9007345,2.2844768,Levallois-Perret,CONFLICT,city_geography_mismatch,"2017-08-21 22:34:33"
4594,18034,published,"Family pizza sandwich","Ozoir-la-Ferrière, 8 Place Roger Nicolas, 77330 France",,,77330,France,48.7708094,2.6893067,Ozoir-la-Ferriere,CONFLICT,city_geography_mismatch,"2017-08-21 22:37:49"
6434,19890,published,"Valleau Kebab Soni","6 rue du cdt cousteau 33240 St Andre de Cubzac",,,33240,"St Andre de Cubzac",44.9927008,-0.4485538,Saint-Andre-de-Cubzac,CONFLICT,city_geography_mismatch,"2017-08-21 22:41:48"
