line,kind,source,destination,flags,conditions,infrastructure,query_condition,home_destination,drops_query,unicode_source
134,exact,/resto/pizza--au-cabano,https://top-halal.fr/resto/pizza-kebab-au-cabano,,,False,False,False,False,False
135,exact,/resto/qg-restaurant,https://top-halal.fr/resto/restaurant-qg,,,False,False,False,False,False
136,exact,/resto/saint-brice-sous-foret,https://top-halal.fr/restos/saint-brice-sous-foret,,,False,False,False,False,False
137,exact,/resto/saint-germain-les-corbeil,https://top-halal.fr/restos/saint-germain-les-corbeil,,,False,False,False,False,False
138,exact,/resto/sainte-genevieve-des-bois,https://top-halal.fr/restos/sainte-genevieve-des-bois,,,False,False,False,False,False
139,exact,/resto/test3,https://top-halal.fr/,,,False,False,True,False,False
140,exact,/resto/villeneuve-saint-georges,https://top-halal.fr/restos/villeneuve-saint-georges,,,False,False,False,False,False
141,exact,/resto/voulx,https://top-halal.fr/restos/voulx,,,False,False,False,False,False
142,exact,/resto/vouziers,https://top-halal.fr/restos/vouziers,,,False,False,False,False,False
143,exact,/resto/vrigne-aux-bois,https://top-halal.fr/restos/vrigne-aux-bois,,,False,False,False,False,False
144,exact,/resto/wasquehal,https://top-halal.fr/restos/wasquehal,,,False,False,False,False,False
145,exact,/restos/a-la-mode-libanaise,https://top-halal.fr/resto/a-la-mode-libanaise,,,False,False,False,False,False
146,exact,/restos/a-lescale,https://top-halal.fr/resto/a-lescale,,,False,False,False,False,False
147,exact,/restos/afriknfusion,https://top-halal.fr/resto/afriknfusion,,,False,False,False,False,False
148,exact,/restos/alambra,https://top-halal.fr/resto/alambra,,,False,False,False,False,False
149,exact,/restos/allchicken-montreuil,https://top-halal.fr/resto/allchicken-montreuil,,,False,False,False,False,False
150,exact,/restos/allo-pizza-service,https://top-halal.fr/resto/allo-pizza-service,,,False,False,False,False,False
151,exact,/restos/alloasia,https://top-halal.fr/resto/alloasia,,,False,False,False,False,False
152,exact,/restos/alto-uno,https://top-halal.fr/resto/alto-uno,,,False,False,False,False,False
153,exact,/restos/anarkali,https://top-halal.fr/resto/anarkali,,,False,False,False,False,False
154,exact,/restos/andiamo-pizza,https://top-halal.fr/resto/andiamo-pizza,,,False,False,False,False,False
155,exact,/restos/aquarium,https://top-halal.fr/resto/aquarium,,,False,False,False,False,False
156,exact,/restos/as-pizza,https://top-halal.fr/resto/as-pizza,,,False,False,False,False,False
157,exact,/restos/asia-delices,https://top-halal.fr/resto/asia-delices,,,False,False,False,False,False
158,exact,/restos/asian-food,https://top-halal.fr/resto/asian-food,,,False,False,False,False,False
159,exact,/restos/asian-mix,https://top-halal.fr/resto/asian-mix,,,False,False,False,False,False
160,exact,/restos/asiatexpress,https://top-halal.fr/resto/asiatexpress,,,False,False,False,False,False
161,exact,/restos/atlas-couscous,https://top-halal.fr/resto/atlas-couscous,,,False,False,False,False,False
162,exact,/restos/au-beausoleil,https://top-halal.fr/resto/au-beausoleil,,,False,False,False,False,False
163,exact,/restos/au-brin-dolivier,https://top-halal.fr/resto/au-brin-dolivier,,,False,False,False,False,False
164,exact,/restos/au-chicca-pitta,https://top-halal.fr/resto/au-chicca-pitta,,,False,False,False,False,False
165,exact,/restos/au-poulet-braise,https://top-halal.fr/resto/au-poulet-braise,,,False,False,False,False,False
166,exact,/restos/au-sushi,https://top-halal.fr/resto/au-sushi,,,False,False,False,False,False
167,exact,/restos/au-vieux-four,https://top-halal.fr/resto/au-vieux-four,,,False,False,False,False,False
168,exact,/restos/augusta-pizza,https://top-halal.fr/resto/augusta-pizza,,,False,False,False,False,False
169,exact,/restos/aux-delices-ottomans,https://top-halal.fr/resto/aux-delices-ottomans,,,False,False,False,False,False
170,exact,/restos/aux-deux-etoiles,https://top-halal.fr/resto/aux-deux-etoiles,,,False,False,False,False,False
171,exact,/restos/baili,https://top-halal.fr/resto/baili,,,False,False,False,False,False
172,exact,/restos/balbigny-kebab,https://top-halal.fr/resto/balbigny-kebab,,,False,False,False,False,False
173,exact,/restos/bay-kebab,https://top-halal.fr/resto/bay-kebab,,,False,False,False,False,False
174,exact,/restos/beyrouthexpress,https://top-halal.fr/resto/beyrouthexpress,,,False,False,False,False,False
175,exact,/restos/bhai-bhai,https://top-halal.fr/resto/bhai-bhai,,,False,False,False,False,False
176,exact,/restos/bolly-bolly,https://top-halal.fr/resto/bolly-bolly,,,False,False,False,False,False
177,exact,/restos/bollywood-lounge,https://top-halal.fr/resto/bollywood-lounge,,,False,False,False,False,False
178,exact,/restos/burger-trip,https://top-halal.fr/resto/burger-trip,,,False,False,False,False,False
179,exact,/restos/casa-di-napoli,https://top-halal.fr/resto/casa-di-napoli,,,False,False,False,False,False
180,exact,/restos/casa-di-tacos,https://top-halal.fr/resto/casa-di-tacos,,,False,False,False,False,False
181,exact,/restos/chez-nanou,https://top-halal.fr/resto/chez-nanou,,,False,False,False,False,False
182,exact,/restos/chic-pizza,https://top-halal.fr/resto/chic-pizza,,,False,False,False,False,False
183,exact,/restos/chicken-bel,https://top-halal.fr/resto/chicken-bel,,,False,False,False,False,False
184,exact,/restos/chicken-by-night,https://top-halal.fr/resto/chicken-by-night,,,False,False,False,False,False
185,exact,/restos/chickn-rice,https://top-halal.fr/resto/chickn-rice,,,False,False,False,False,False
186,exact,/restos/chiken-points,https://top-halal.fr/resto/chiken-points,,,False,False,False,False,False
187,exact,/restos/chikenworld,https://top-halal.fr/resto/chikenworld,,,False,False,False,False,False
188,exact,/restos/chilis,https://top-halal.fr/resto/chilis,,,False,False,False,False,False
189,exact,/restos/craken-creperie,https://top-halal.fr/resto/craken-creperie,,,False,False,False,False,False
190,exact,/restos/crepe-tower,https://top-halal.fr/resto/crepe-tower,,,False,False,False,False,False
191,exact,/restos/crousti-coq,https://top-halal.fr/resto/crousti-coq,,,False,False,False,False,False
192,exact,/restos/daar-djerba,https://top-halal.fr/resto/daar-djerba,,,False,False,False,False,False
193,exact,/restos/daily-grill,https://top-halal.fr/resto/daily-grill,,,False,False,False,False,False
194,exact,/restos/dar-di-pasta,https://top-halal.fr/resto/dar-di-pasta,,,False,False,False,False,False
195,exact,/restos/dare-wok,https://top-halal.fr/resto/dare-wok,,,False,False,False,False,False
196,exact,/restos/darna,https://top-halal.fr/resto/darna,,,False,False,False,False,False
197,exact,/restos/delice-de-bagneux,https://top-halal.fr/resto/delice-de-bagneux,,,False,False,False,False,False
198,exact,/restos/delice-du-maroc,https://top-halal.fr/resto/delice-du-maroc,,,False,False,False,False,False
199,exact,/restos/delicity,https://top-halal.fr/resto/delicity,,,False,False,False,False,False
200,exact,/restos/diffa-pizza,https://top-halal.fr/resto/diffa-pizza,,,False,False,False,False,False
201,exact,/restos/doctor-pizz,https://top-halal.fr/resto/doctor-pizz,,,False,False,False,False,False
202,exact,/restos/dolce-vita,https://top-halal.fr/resto/dolce-vita,,,False,False,False,False,False
203,exact,/restos/dragon-wok,https://top-halal.fr/resto/dragon-wok,,,False,False,False,False,False
204,exact,/restos/easy-pizza,https://top-halal.fr/resto/easy-pizza,,,False,False,False,False,False
205,exact,/restos/eden-sushi,https://top-halal.fr/resto/eden-sushi,,,False,False,False,False,False
206,exact,/restos/ekko-pizza,https://top-halal.fr/resto/ekko-pizza,,,False,False,False,False,False
207,exact,/restos/el-daya,https://top-halal.fr/resto/el-daya,,,False,False,False,False,False
208,exact,/restos/el-forno,https://top-halal.fr/resto/el-forno,,,False,False,False,False,False
209,exact,/restos/el-medina,https://top-halal.fr/resto/el-medina,,,False,False,False,False,False
210,exact,/restos/emre-snack,https://top-halal.fr/resto/emre-snack,,,False,False,False,False,False
211,exact,/restos/enk,https://top-halal.fr/resto/enk,,,False,False,False,False,False
212,exact,/restos/familys-pizza,https://top-halal.fr/resto/familys-pizza,,,False,False,False,False,False
213,exact,/restos/fastthai,https://top-halal.fr/resto/fastthai,,,False,False,False,False,False
214,exact,/restos/fch-the-french-chicken-house,https://top-halal.fr/resto/fch-the-french-chicken-house,,,False,False,False,False,False
215,exact,/restos/figue-olive,https://top-halal.fr/resto/figue-olive,,,False,False,False,False,False
216,exact,/restos/fine-lalla,https://top-halal.fr/resto/fine-lalla,,,False,False,False,False,False
217,exact,/restos/first-coffee,https://top-halal.fr/resto/first-coffee,,,False,False,False,False,False
218,exact,/restos/french-touch,https://top-halal.fr/resto/french-touch,,,False,False,False,False,False
219,exact,/restos/freschezza,https://top-halal.fr/resto/freschezza,,,False,False,False,False,False
220,exact,/restos/golden-food-toulouse,https://top-halal.fr/resto/golden-food-toulouse,,,False,False,False,False,False
221,exact,/restos/halikarnas-pantin,https://top-halal.fr/resto/halikarnas-pantin,,,False,False,False,False,False
222,exact,/restos/happy-sushi,https://top-halal.fr/resto/happy-sushi,,,False,False,False,False,False
223,exact,/restos/hawassi,https://top-halal.fr/resto/hawassi,,,False,False,False,False,False
224,exact,/restos/he-pates-moi,https://top-halal.fr/resto/he-pates-moi,,,False,False,False,False,False
225,exact,/restos/hilao-chicken,https://top-halal.fr/resto/hilao-chicken,,,False,False,False,False,False
226,exact,/restos/i-love-asie,https://top-halal.fr/resto/i-love-asie,,,False,False,False,False,False
227,exact,/restos/ifrikiya,https://top-halal.fr/resto/ifrikiya,,,False,False,False,False,False
228,exact,/restos/imperial-sushi,https://top-halal.fr/resto/imperial-sushi,,,False,False,False,False,False
229,exact,/restos/indian-food,https://top-halal.fr/resto/indian-food,,,False,False,False,False,False
230,exact,/restos/indian-lunch,https://top-halal.fr/resto/indian-lunch,,,False,False,False,False,False
231,exact,/restos/infinity-sushi,https://top-halal.fr/resto/infinity-sushi,,,False,False,False,False,False
232,exact,/restos/kidals-food,https://top-halal.fr/resto/kidals-food,,,False,False,False,False,False
233,exact,/restos/king-star-crepe,https://top-halal.fr/resto/king-star-crepe,,,False,False,False,False,False
234,exact,/restos/kom-a-la-maison,https://top-halal.fr/resto/kom-a-la-maison,,,False,False,False,False,False
235,exact,/restos/kydam-pizza-pasta,https://top-halal.fr/resto/kydam-pizza-pasta,,,False,False,False,False,False
236,exact,/restos/la-baraque-a-frites,https://top-halal.fr/resto/la-baraque-a-frites,,,False,False,False,False,False
237,exact,/restos/la-barricade,https://top-halal.fr/resto/la-barricade,,,False,False,False,False,False
238,exact,/restos/la-belle-colombe,https://top-halal.fr/resto/la-belle-colombe,,,False,False,False,False,False
239,exact,/restos/la-belle-dorient,https://top-halal.fr/resto/la-belle-dorient,,,False,False,False,False,False
240,exact,/restos/la-branche,https://top-halal.fr/resto/la-branche,,,False,False,False,False,False
241,exact,/restos/la-casa-di-manza,https://top-halal.fr/resto/la-casa-di-manza,,,False,False,False,False,False
242,exact,/restos/la-casa-poulet-braise,https://top-halal.fr/resto/la-casa-poulet-braise,,,False,False,False,False,False
243,exact,/restos/la-mie-marie,https://top-halal.fr/resto/la-mie-marie,,,False,False,False,False,False
244,exact,/restos/la-palme,https://top-halal.fr/resto/la-palme,,,False,False,False,False,False
245,exact,/restos/la-petite-braise,https://top-halal.fr/resto/la-petite-braise,,,False,False,False,False,False
246,exact,/restos/la-petite-pause,https://top-halal.fr/resto/la-petite-pause,,,False,False,False,False,False
247,exact,/restos/la-petite-venise,https://top-halal.fr/resto/la-petite-venise,,,False,False,False,False,False
248,exact,/restos/la-riviera,https://top-halal.fr/resto/la-riviera,,,False,False,False,False,False
249,exact,/restos/la-table-fleurie,https://top-halal.fr/resto/la-table-fleurie,,,False,False,False,False,False
250,exact,/restos/la-troika-libanaise,https://top-halal.fr/resto/la-troika-libanaise,,,False,False,False,False,False
251,exact,/restos/ladresse,https://top-halal.fr/resto/ladresse,,,False,False,False,False,False
252,exact,/restos/lalqila,https://top-halal.fr/resto/lalqila,,,False,False,False,False,False
253,exact,/restos/lardoise,https://top-halal.fr/resto/lardoise,,,False,False,False,False,False
254,exact,/restos/layal,https://top-halal.fr/resto/layal,,,False,False,False,False,False
255,exact,/restos/le-bagdad-cafe,https://top-halal.fr/resto/le-bagdad-cafe,,,False,False,False,False,False
256,exact,/restos/le-bollywood,https://top-halal.fr/resto/le-bollywood,,,False,False,False,False,False
257,exact,/restos/le-carre-rouge,https://top-halal.fr/resto/le-carre-rouge,,,False,False,False,False,False
258,exact,/restos/le-cedre-oriental,https://top-halal.fr/resto/le-cedre-oriental,,,False,False,False,False,False
259,exact,/restos/le-comptoir,https://top-halal.fr/resto/le-comptoir,,,False,False,False,False,False
260,exact,/restos/le-confidentiel,https://top-halal.fr/resto/le-confidentiel,,,False,False,False,False,False
261,exact,/restos/le-djembe,https://top-halal.fr/resto/le-djembe,,,False,False,False,False,False
262,exact,/restos/le-filao,https://top-halal.fr/resto/le-filao,,,False,False,False,False,False
263,exact,/restos/le-finest,https://top-halal.fr/resto/le-finest,,,False,False,False,False,False
264,exact,/restos/le-frenchy,https://top-halal.fr/resto/le-frenchy,,,False,False,False,False,False
265,exact,/restos/le-hall-restaurant,https://top-halal.fr/resto/le-hall-restaurant,,,False,False,False,False,False
266,exact,/restos/le-jardin-du-maroc,https://top-halal.fr/resto/le-jardin-du-maroc,,,False,False,False,False,False
267,exact,/restos/le-jumeyrah,https://top-halal.fr/resto/le-jumeyrah,,,False,False,False,False,False
268,exact,/restos/le-karachi,https://top-halal.fr/resto/le-karachi,,,False,False,False,False,False
269,exact,/restos/le-lobia,https://top-halal.fr/resto/le-lobia,,,False,False,False,False,False
270,exact,/restos/le-maharajah,https://top-halal.fr/resto/le-maharajah,,,False,False,False,False,False
